Theme,Secondary Theme,Sectors,Subsectors,Activity,Activity Examples,Activity Type,Adaptation Likelihood,"Maladaptation or
Significant Harm Risk","Maladaptation or
Significant Harm Criteria",Cities Relevance,Gender Relevance,Mitigation Co-Benefit,Mitigation Co-Benefit Type,Heat Stress,Cold Stress,Water Stress,Storm Conditions,Flooding,Mass Movement,Wildfire Conditions,Marine Conditions,Commercial Banks,Asset Managers,PE & VC,SMEs,Pension Funds,International Insurers,Multinational Corporations,Domestic Corporations,Households & Consumers
Industry and Commerce,Agri-Food Systems,Manufacturing,Discrete Manufacturing,Industrial Equipment and Machinery Manufacturing Risk Hardening,"reinforced manufacturing facilities for equipment and machinery, fire protection for heavy machinery for equipment and machinery, dedicated cooling systems for CNC machines for equipment and machinery manufacturing, flood-proofing for manufacturing plants for equipment and machinery",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,,X,X,X,X,
Industry and Commerce,Health,Manufacturing,Discrete Manufacturing,Medical Products Manufacturing Risk Hardening,"climate-resistant cleanrooms for medical products manufacturing, temperature-sensitive material storage for medical products manufacturing, fire-resistant pharmaceutical manufacturing",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,,X,X,,,X,X,
Industry and Commerce,Not Applicable,Manufacturing,Discrete Manufacturing,Other Consumer Goods Manufacturing Risk Hardening,"climate-resistant manufacturing facilities for consumer goods manufacturing, fire protection for consumer goods production, flood-proofing consumer goods factories, temperature and humidity control in consumer goods manufacturing",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Industry and Commerce,Not Applicable,Manufacturing,Discrete Manufacturing,Other Discrete Manufacturing Risk Hardening,"climate-resistant production facilities for other discrete manufacturing, fire protection for production environments for other discrete manufacturing, flood-proofing for other discrete manufacturing, temperature and humidity control in production for other discrete manufacturing",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,
Industry and Commerce,Infrastructure,Manufacturing,Discrete Manufacturing,Technology Manufacturing Risk Hardening,"climate-resistant production facilities for technology manufacturing, fire protection for technology manufacturing, flood-proofing technology manufacturing facilities, temperature and humidity control in technology production",Product or Service,Low,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,
Industry and Commerce,Infrastructure,Manufacturing,Process Manufacturing,Cement Manufacturing Risk Hardening,"climate-resistant cement production facilities, fire protection for cement production, flood-proofing cement manufacturing facilities, temperature and humidity control in cement production",Product or Service,Medium,Yes,4[M]: Inhibiting Necessary Change,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,
Industry and Commerce,Infrastructure,Manufacturing,Process Manufacturing,Chemical Manufacturing Risk Hardening,"adaptive chemical manufacturing technologies, climate-resistant production facilities for chemical manufacturing, fire protection for chemical production, flood-proofing chemical manufacturing facilities, temperature and humidity control in chemical production",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,
Industry and Commerce,Infrastructure,Manufacturing,Process Manufacturing,Metal Manufacturing Risk Hardening,"climate-resistant metal production facilities, fire protection for metal production, flood-proofing metal manufacturing facilities, temperature and humidity control in metal production",Product or Service,Medium,Yes,4[M]: Inhibiting Necessary Change,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,
Industry and Commerce,Infrastructure,Manufacturing,Process Manufacturing,Other Process Manufacturing Risk Hardening,"climate-resistant production facilities for other process manufacturing, fire protection for other process manufacturing, flood-proofing process for other manufacturing facilities, temperature and humidity control in other process manufacturing",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Industry and Commerce,Health,Manufacturing,Process Manufacturing,Pharmaceuticals and Biotechnology Manufacturing Risk Hardening,"fire protection for pharmaceutical and biotech production, flood-proofing pharmaceutical and biotech manufacturing facilities, temperature and humidity control in pharmaceutical and biotech production, resilient supply chain management for pharmaceuticals and biotechnology, real-time monitoring and predictive maintenance in pharmaceutical and biotech manufacturing, resilient power and energy systems for pharmaceutical and biotech manufacturing, fireproof storage for raw materials and finished products for pharmaceutical and biotech manufacturing, recycled and biobased materials for pharmaceutical and biotech production, resilient process design for pharmaceuticals and biotechnology production",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,
Industry and Commerce,Not Applicable,Manufacturing,Process Manufacturing,Plastic and Rubber Manufacturing Risk Hardening,"reinforced production areas and machinery enclosures for plastic and rubber manufacturing, fire protection for plastic and rubber production, flood-proofing plastic and rubber manufacturing facilities, temperature and humidity control in plastic and rubber production, resilient supply chain management for plastic and rubber production, real-time monitoring and predictive maintenance in plastic and rubber manufacturing, resilient power and energy systems for plastic and rubber manufacturing, fireproof storage for raw materials and finished products for plastic and rubber manufacturing, advanced automation and robotics in plastic and rubber production",Product or Service,Medium,Yes,4[M]: Inhibiting Necessary Change,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,,,,,X,X,
Industry and Commerce,Not Applicable,Manufacturing,Process Manufacturing,Textile Manufacturing Risk Hardening,"fire protection for textile production, flood-proofing textile manufacturing facilities, temperature and humidity control in textile production, resilient supply chain management for textile production, resilient power and energy systems for textile manufacturing, fireproof storage for raw materials and finished textiles",Product or Service,Medium,Yes,4[M]: Inhibiting Necessary Change,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,
Industry and Commerce,Not Applicable,Mining & Quarrying,Mining,Mining Processes Risk Hardening,"climate-resistant mining infrastructure, fire protection for mining operations, flood-proofing mining sites, temperature and humidity control in mining operations",Product or Service,Low,Yes,3[M]: Worsening the Condition of Marginalized Groups,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Industry and Commerce,Infrastructure,Other Services,Advisory and Consulting Services,Climate Advisory and Consulting Services,"climate risk assessment, resilience and adaptation strategy development, climate risk disclosure and reporting consulting services, corporate climate strategy development consulting services, infrastructure risk assessment advisory services, climate risk modeling consulting",Enabling Activity,High,No,Not Applicable,Yes,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,X,X,
Industry and Commerce,Not Applicable,Other Services,Other Office-Based Services,Other Office-Based Services Risk Hardening,"resilient supply chain management for office services, designing office processes for climate resilience",Product or Service,Medium,No,Not Applicable,Yes,No,No,Not Applicable,X,X,X,X,X,X,X,,X,,,,,,X,X,
Industry and Commerce,Not Applicable,Other Services,Scientific & Engineering Services including R&D,Scientific & Engineering Services Risk Hardening,"fire protection for research and engineering facilities, flood-proofing scientific and engineering facilities, temperature and humidity control in research and engineering environments",Product or Service,Low,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,
Industry and Commerce,Infrastructure,Other Services,Software Services,Software Services Risk Hardening,"climate-resistant infrastructure for software services, resilient supply chain management for software services, fireproof storage for critical software, designing software development processes for climate resilience",Product or Service,Low,No,Not Applicable,No,No,No,Not Applicable,,,,X,X,X,X,,,,,,,,X,X,
Industry and Commerce,Social Systems,Policy & Capacity Building,Policy & Capacity Building,Industry and Commerce Policy & Capacity Building,"climate-resilient industrial policies and advocacy, innovation hubs and incubators for climate adaptation for industry and commerce",Enabling Activity,Low,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,
Infrastructure,Water and Sanitation,Buildings,Erosion Control,Erosion Control Infrastructure,"climate-resilient retaining walls and terracing for buildings, enhanced riprap and rock armor for buildings, gabion structures with climate adaptation features for buildings, adaptive sediment control basins and ponds for buildings, climate-adaptive erosion control blankets and mats for buildings, silt fences and sediment barriers designed for extreme weather for buildings",Product or Service,Low,No,Not Applicable,Yes,No,No,Not Applicable,,,,,,X,,,X,,X,X,,X,X,X,X
Infrastructure,Water and Sanitation,Buildings,Green Building Infrastructure,Green Buildings Infrastructure,"vegetated roof overhangs for buildings, deciduous trees for buildings, rain gardens on or around buildings, bioswales for buildings, vegetated swales for buildings, green roofs, green walls, water features for buildings, planting trees and vegetation around buildings, natural ventilation for buildings, natural shade structures for buildings, building green spaces",Product or Service,High,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,
Infrastructure,Health,Buildings,Grey Building Infrastructure,Air Conditioning Systems,"installation and maintenance of residential air conditioning, commercial air conditioning, community air conditioning, installation of centralized HVAC systems for buildings",Product or Service,High,Yes,5[SH]: Inhibiting Climate Change Mitigation,Yes,Yes,No ,Not Applicable,X,,,,,,,,X,,X,X,,,X,X,X
Infrastructure,Water and Sanitation,Buildings,Grey Building Infrastructure,Grey Buildings Infrastructure (excluding air conditioning),"insulation for buildings, heating systems for buildings, snow removal systems for buildings, thermal mass building materials for buildings, artificial windbreaks for buildings, heat recovery ventilation for buildings, flood walls and barriers for buildings, stormwater drainage systems for building, sump pumps for building, elevated foundations for building",Product or Service,Medium,Yes,5[SH]: Inhibiting Climate Change Mitigation,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,
Infrastructure,Not Applicable,Energy,"Electricity Transmission, Distribution & Storage",Distributed Energy Transmission Infrastructure,"battery storage, virtual power plants, grid interconnection equipment, vehicle-to-grid (V2G) technology",Product or Service,High,No,Not Applicable,Yes,Yes,Yes,Avoided Emissions,X,X,,X,X,X,X,,X,X,X,X,X,X,X,X,
Infrastructure,Not Applicable,Energy,"Electricity Transmission, Distribution & Storage",Energy Grid Management and Monitoring,"demand response technologies, distributed energy resource (DER) management systems, microgrid controllers, advanced distribution management systems (ADMS)",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,,X,X,,,X,X,
Infrastructure,Not Applicable,Energy,"Electricity Transmission, Distribution & Storage",Energy Grid Risk Hardening,"grid hardening technologies, flood protection and cooling technologies for sub-stations, materials and technology to avoid sagging transmission lines, undergrounding power lines, automated grid reconfiguration, resilient grid control centers",Product or Service,Medium,No,Not Applicable,Yes,No,No,Not Applicable,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,
Infrastructure,Not Applicable,Energy,Fossil Fuels,Fossil Fuel Facility Risk Hardening,"enhanced cooling systems for fossil fuel facilities, elevating critical equipment for fossil fuel facilities, structural reinforcement for fossil fuel facilities, heat shielding and thermal protection for fossil fuel facilities",Product or Service,Medium,Yes,4[M]: Inhibiting Necessary Change,Yes,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,
Infrastructure,Agri-Food Systems,Energy,Nonrenewable Energy  (excluding fossil fuels),Biomass Generation Risk Hardening,"structural reinforcement for biomass generation infrastructure, corrosion-resistant materials for biomass generation infrastructure, efficient drainage systems for biomass generation infrastructure",Product or Service,Medium,Yes,4[M]: Inhibiting Necessary Change,No,No,No,Not Applicable,,X,,X,X,X,X,,X,,X,X,,,X,X,X
Infrastructure,Not Applicable,Energy,Nonrenewable Energy (excluding fossil fuels),Distributed Nonrenewable Energy Generation,"distributed diesel generators, distributed oil-fired boilers, distributed propane generators",Product or Service,High,Yes,5[SH]: Inhibiting Climate Change Mitigation,Yes,Yes,No,Not Applicable,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X
Infrastructure,Not Applicable,Energy,Nonrenewable Energy (excluding fossil fuels),Nuclear Power Generation Risk Hardening,"structural reinforcement for nuclear power infrastructure, corrosion-resistant materials for nuclear power infrastructure, efficient drainage systems for nuclear power infrastructure",Product or Service,Medium,Yes,1[M]: Causing Unintended Harm to Humans,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
Infrastructure,Water and Sanitation,Energy,Renewable Energy,Distributed Renewable Energy Generation,"biogas generation, solar home systems, distributed micro-wind turbines, pico-hydro power systems",Product or Service,High,No,Not Applicable,Yes,Yes,Yes,Avoided Emissions,X,X,,X,X,X,X,,X,X,X,X,X,X,X,X,X
Infrastructure,Water and Sanitation,Energy,Renewable Energy,Renewable Energy Generation Risk Hardening,"structural reinforcement for renewable energy infrastructure, corrosion-resistant materials for renewable energy infrastructure, efficient drainage systems for renewable energy infrastructure, waterproof junction boxes for renewable energy infrastructure",Product or Service,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Infrastructure,Industry and Commerce,Information and Communication Technology,Computer Systems and Hardware (excluding data facilities),Computer Systems and Hardware Infrastructure Risk Hardening,"corrosion-resistant materials for hardware components, efficient cooling and ventilation systems for computers, waterproof and dustproof enclosures for computers",Product or Service,Low,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X
Infrastructure,Industry and Commerce,Information and Communication Technology,Data Facilities,Data Center Infrastructure Risk Hardening,"energy-efficient cooling systems for data centers, geographic diversification of data centers, structural reinforcement for data center buildings, power protection and redundancy for data centers",Product or Service,Low,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,
Infrastructure,Industry and Commerce,Information and Communication Technology,Transmission Networks,Transmission Networks Infrastructure Risk Hardening,"structural reinforcement of transmission towers and lines, corrosion protection for transmission infrastructure, flood and water protection for transmission networks, fire-resistant materials and coatings for transmission networks",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,
Infrastructure,Industry and Commerce,Infrastructure Monitoring,Infrastructure Monitoring,Prediction and Surveillance of Climate-Related Infrastructure Risks,infrastructure early warning systems for climate hazards,Intelligence,High,No,Not Applicable,Yes,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,,X,X,,X,X,X,X
Infrastructure,Social Systems,Policy & Capacity Building,Policy & Capacity Building,Infrastructure Policy & Capacity Building,"climate-resilient infrastructure policies, resilient urban infrastructure planning, cross-sectoral coordination and collaboration for infrastructure climate planning, infrastructure governance and accountability for addressing climate hazards",Enabling Activity,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,
Infrastructure,Not Applicable,Transport,Aviation,Aviation Infrastructure Risk Hardening,"airport infrastructure resilience, heat resilience and cooling systems for avian infrastructure, runway and taxiway drainage systems, lightning protection systems for aircraft, temperature-related aircraft performance adjustments, fuel management and storage in extreme conditions",Product or Service,Medium,Yes,4[M]: Inhibiting Necessary Change,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,
Infrastructure,Health,Transport,Other Transport,Other Public Transit Infrastructure Risk Hardening,"stormwater management for other transit infrastructure, wind and storm resilience for other transit infrastructure, extreme temperature adaptation for other transit vehicles",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,,X,X,X,X,,X,X,X,X,X,X,X,X,
Infrastructure,Industry and Commerce,Transport,Ports,Port Infrastructure Risk Hardening ,"sea-level rise adaptation for port infrastructure, storm surge and flood protection for port infrastructure, reinforced breakwaters and seawalls for port infrastructure",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,,X,X,X,X,X,X,X,X,,X,X,X,X,
Infrastructure,Industry and Commerce,Transport,Railways,Railway Infrastructure Risk Hardening,"heat resistant materials for railroad tracks, sensors for railroads/bridges/tunnels, flood protection and water management for railway infrastructure, wind and storm resilience for railway infrastructure, cold weather adaptations for railway operations",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,,X,X,X,X,,X,X,X,X,X,X,X,X,
Infrastructure,Industry and Commerce,Transport,Roads,Road Infrastructure Risk Hardening,"installation of road drainage, permeable/non-slip pavement for road infrastructure, elevation of roads and highways, installation of culverts for road infrastructure, extreme temperature-resistant paving material for road infrastructure",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,,X,X,X,X,,X,X,,,,X,X,X,
Infrastructure,Water and Sanitation,Urban Spaces,Green Urban Infrastructure,Urban Parks and Green Spaces,"tree planting and canopy expansion in urban environments, rain gardens and bioswales in urban environments, drought-tolerant landscaping in urban environments, shade structures and cooling infrastructure in urban environments, flood-proof park facilities",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Carbon Sequestration,X,,X,X,X,,,,,,,X,,,X,X,X
Infrastructure,Health,Urban Spaces,Grey Urban Infrastructure,Grey Urban Cooling Infrastructure,"cool pavements in urban environments, solar-reflective shade canopies in urban environments, reflective asphalt coatings in urban environments, fountains and splash pads in urban environments, cooling urban furniture",Product or Service,High,Yes,5[SH]: Inhibiting Climate Change Mitigation,Yes,No,No,Not Applicable,X,,,,,,,,X,X,X,X,X,,X,X,
Infrastructure,Water and Sanitation,Waste,Liquid Waste Management,Industrial Wastewater Treatment Infrastructure (excluding municipal wastewater treatment),"hazardous industrial wastewater treatment, containment and storage systems for industrial wastewater treatment, chemical neutralization and detoxification for industrial wastewater treatment, chemical oxidation and advanced oxidation processes for industrial wastewater treatment",Product or Service,Low,No,Not Applicable,No,No,Yes,Avoided Emissions,,,X,,X,,,,X,X,,,X,,X,X,
Infrastructure,Industry and Commerce,Waste,Solid Waste Management,Solid Waste Management Infrastructure (excluding agricultural waste),"e-waste recycling, material recovery facilities (MRFs), resource recovery for solid waste management, landfills with advanced engineering for solid waste management, hazardous waste treatment and disposal for solid waste management",Product or Service,Low,Yes,7[SH]: Inhibiting the Transition to a Circular Economy,Yes,No,Yes,Avoided Emissions,,,,X,X,,,,X,X,,,,X,X,X,
Social Systems,Not Applicable,Culture,Cultural Facilities,Management of Cultural Facilities,"protections of museums, protection of libraries, protection of art galleries, protection of concert halls, artifact and art storage, art and artifact transport, cultural facility insurance coverage",Product or Service,Low,No,Not Applicable,Yes,Yes,No,Not Applicable,,,,X,X,X,X,,,,,,,,X,X,
Social Systems,Not Applicable,Culture,Cultural Heritage,Preservation of Cultural Heritage,"protection of historical sites, protection of cultural artifacts, safeguarding traditions, safeguarding indigenous practices, protecting indigenous knowledge and culture, promotion of traditional crafts and skills, participatory mapping of cultural sites, 3D scanning and digital archiving, crowdsourced digital heritage projects",Enabling Activity,Low,No,Not Applicable,No,Yes,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,X
Social Systems,Not Applicable,Education & Awareness,Educational Institutions,Adult Education on Climate Change,"online courses and webinars on climate change, workplace training programs on climate change",Enabling Activity,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,X,X
Social Systems,Not Applicable,Education & Awareness,Educational Institutions,Childhood Education on Climate Change,"age-appropriate climate science lessons, environmental-themed books and reading programs, climate change simulations and games, student-led environmental initiatives, classroom integration of climate across subjects, interactive climate change exhibits in schools",Enabling Activity,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,X,X
Social Systems,Not Applicable,Education & Awareness,Public Awareness,Climate Change Art,"climate change arts installations, documentaries on climate change, visual arts on climate change, performance art on climate change, public art projects on climate change, music and sound art on climate change, crowdsourced climate art, thematic exhibitions on climate change, pop-up climate galleries",Enabling Activity,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,X
Social Systems,Not Applicable,Education & Awareness,Public Awareness,Climate Change News & Public Media,"public service announcements (PSAs) on climate change, climate journalism, climate change news websites and blogs, climate change podcasts, social media campaigns on climate change, climate change tv news segments, environmental newsletters on climate change, climate change infographics and visual media, environmental advocacy and campaign videos on climate change, climate change public broadcasting",Enabling Activity,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,X,X,X
Social Systems,Not Applicable,Education & Awareness,Public Awareness,Climate Change Public Events,"climate change marches and demonstrations, climate action days, educational campaigns on climate change, public forums and town halls on climate change, climate action workshops for the public, climate change fundraising events, climate change speaker series",Enabling Activity,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,X,X,X
Social Systems,Not Applicable,Policy & Capacity Building,Policy & Capacity Building,Social Systems Policy & Capacity Building,"advocacy for social justice in climate policy, capacity building for civil society organizations focused on climate change",Enabling Activity,Medium,No,Not Applicable,No,Yes,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,
Social Systems,Industry and Commerce,Public Administration,Disaster Risk Reduction,Climate Hazard Vulnerability Assessments,"geospatial mapping of climate hazards and marginalized communities, participatory vulnerability mapping, multi-hazard risk assessments, composite vulnerability indices",Intelligence,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Social Systems,Not Applicable,Public Administration,Disaster Risk Reduction,Climate-Responsive Legal and Institutional Frameworks,"disaster risk reduction legislation, training for legal professionals on climate change, legal institutional capacity building on climate change, legal frameworks for climate adaptation, environmental justice legislation",Enabling Activity,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,
Social Systems,Health,Public Administration,Disaster Risk Reduction,Public Disaster Response and Recovery Planning,"community-based disaster risk management (CBDRM), public disaster contingency planning, public recovery and reconstruction, public incident command systems, public emergency alert systems, public post-disaster recovery and rebuilding assistance",Enabling Activity,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,,X,X,X,X,,,,X,X,,X,X,X,
Social Systems,Ecosystems,Public Administration,Land Use Administration,Climate-Responsive Land Use Planning and Zoning,"climate-responsive zoning restrictions, coastal setback regulations sea-level rise adaptation zones, wildfire risk zoning",Enabling Activity,High,Yes,3[M]: Worsening the Condition of Marginalized Groups,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,,,,,,,,,
Social Systems,Not Applicable,Public Administration,National Security,Climate Security,"climate security defense units, joint military exercises focused on climate change scenarios, training security forces for climate-related disaster response, integrating climate risk assessments into national security strategies, climate-related conflict prevention and mediation, civil-military coordination in climate emergencies",Enabling Activity,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,X,,,X,X,
Social Systems,Not Applicable,Public Administration,Public Adaptation Plans,Public Adaptation Plans,"national adaptation plans (NAPS), local adaptation plans, sector-specific adaptation strategies, urban adaptation strategies",Enabling Activity,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,X,X,
Social Systems,Industry and Commerce,Social Protection,Livelihoods Support,Climate-Linked Social Insurance,"parametric livelihood insurance, parametric insurance for urban poor, climate-linked unemployment insurance, climate-linked social protection schemes, community-based microinsurance",Enabling Activity,High,No,Not Applicable,No,Yes,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,X,,,
Social Systems,Industry and Commerce,Social Protection,Livelihoods Support,Community Climate-Resilient Economic Development,"social safety nets, poverty reduction programs and workforce development for those with vulnerable jobs",Enabling Activity,High,No,Not Applicable,No,Yes,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,
Social Systems,Industry and Commerce,Social Protection,Livelihoods Support,Direct Economic Support to Vulnerable Communities,"seasonal cash transfers, disaster relief funds, livelihood diversification support",Enabling Activity,Low,No,Not Applicable,No,Yes,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,
Social Systems,Agri-Food Systems,Social Protection,Social Assistance,Climate-Related Migration and Resettlement Management,"climate-related refugee assistance, repatriation and resettlement for climate-related migration, buy-outs for unrecoverable land due to climate change, participatory resettlement planning due to climate change",Enabling Activity,High,Yes,3[M]: Worsening the Condition of Marginalized Groups,No,Yes,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,,,,,,,,,X
Water and Sanitation,Social Systems,Policy & Capacity Building,Policy & Capacity Building,Water and Sanitation Policy & Capacity Building,"water dispute resolutions and treaties, water user agreements, institutional policy reforms for water management, water and sanitation policy frameworks, integrated water resources management (iwrm)",Enabling Activity,Medium,No,Not Applicable,No,Yes,No ,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,
Water and Sanitation,Health,WASH Services,Sanitation Services,On-Site Sanitation,"septic systems, household biofiltration systems, composting toilets, household anaerobic digesters, household constructed wetlands, vault toilets",Product or Service,Low,No,Not Applicable,No,Yes,Yes,Avoided Emissions,,,,X,X,,,X,,,X,X,,,,X,X
Water and Sanitation,Infrastructure,WASH Services,Sanitation Services,Wastewater Treatment and Reuse (excluding industrial treatment),"efficient wastewater treatment plants, soil conditioners from wastewater treatment, home-building briquettes from wastewater treatment, wastewater treatment for domestic uses, sludge reuse from wastewater treatment, activated sludge process from wastewater treatment",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,,,X,,,,,,X,X,X,X,X,X,X,X,
Water and Sanitation,Infrastructure,WASH Services,Water Services,Industrial Water Treatment (excluding irrigation),"reverse osmosis (ro) for water industrial treatment, advanced oxidation processes (aops) for water industrial treatment, activated sludge process for water industrial treatment, membrane bioreactors (mbrs) for water industrial treatment, electrocoagulation for water industrial treatment, centrifugation for water industrial treatment, evaporation and crystallization for water industrial treatment, ion exchange for water industrial treatment, chemical precipitation for water industrial treatment, dissolved air flotation (daf) for water industrial treatment, bioremediation for water industrial treatment, granular activated carbon (gac) filtration for water industrial treatment, hydrocyclones for water industrial treatment, ozone treatment for water industrial treatment, ultrafiltration (uf) for water industrial treatment, nanofiltration (nf) for water industrial treatment, thermal desalination for water industrial treatment, zero liquid discharge (zld) for water industrial treatment, separator systems for water industrial treatment, wet air oxidation (wao) for water industrial treatment, pipelines for water industrial treatment, water storage tanks for water industrial treatment, pump stations  for water industrial treatment, water distribution networks for industrial purposes, pressure reducing stations for water industrial treatment, water metering systems for water industrial treatment",Product or Service,Low,No,Not Applicable,No,No,Yes,Avoided Emissions,,,X,,X,X,,,X,X,,,,,X,X,
Water and Sanitation,Infrastructure,WASH Services,Water Services,Potable Water Treatment and Delivery ,"efficient water treatment plants, pipes for water delivery, boreholes, tube wells, reverse osmosis (ro) for water treatment, ultraviolet (uv) disinfection for water treatment, activated carbon filtration for water treatment, ozone treatment for water treatment, chlorination for water treatment, distillation for water treatment, electrodialysis for water treatment, flocculation and sedimentation for water treatment, filtration for water treatment, membrane filtration for water treatment, biological filtration for water treatment, ion exchange for water treatment, granular activated carbon (gac) filters for water treatment, hydroponic water treatment for water treatment, precipitation and filtration for water treatment, chemical oxidation for water treatment, nanotechnology for water treatment, hydrogen peroxide treatment for water treatment, water treatment plants, on-site treatment plants, off-site water treatment plants, water pipelines, water pump stations",Product or Service,Medium,Yes,6[SH]: Inhibiting the Protection of Water and Marine Resources,Yes,Yes,No,Not Applicable,X,,X,X,X,,X,,X,X,X,X,X,X,X,X,X
Water and Sanitation,Infrastructure,WASH Services,Water Services,Water Efficiency Improvement Measures (excluding irrigation),"low-flow fixtures, water-efficient appliances, water-saving technologies, water-efficient landscaping, cooling system optimization, water-efficient showerheads, low-water-use washing machines, eco-friendly dishwashers",Product or Service,High,No,Not Applicable,Yes,No,Yes,Avoided Emissions,,,X,,,,,,X,,X,X,,X,X,X,
Water and Sanitation,Infrastructure,WASH Services,Water Services,Water Use Management and Monitoring,"reducing non-revenue water, household water metering and monitoring, water-use restrictions, behavior interventions to reduce waste ruse, smart water meters",Product or Service,High,Yes,3[M]: Worsening the Condition of Marginalized Groups,Yes,No,Yes,Avoided Emissions,,,X,,,,,,X,,X,X,,X,X,X,
