CVC Name,Website,CVC Description,Company,Country,unmatched_flag,canonical_company,match_company,category
Brose Ventures,https://www.brose.com/de-en/company/brose-ventures/,"Brose Ventures is the corporate venture capital arm of the Brose Group, backing early through late-stage startups that shape the future of mobility while aligning their technologies with the parent company and enabling joint growth via collaboration with Brose's businesses.

Priority investment themes span connected vehicle access systems, complete seating structures, electric drives and thermal management, micromobility, automotive software, sensors and ECUs, new materials and sustainability, smart product development and production technologies, AI solutions for engineering and operations, and robotics for production environments.

Startups gain more than capital, benefiting from Brose Ventures' ability to open doors to vehicle manufacturers, share the group's industrialization know-how, and orchestrate rapid exchanges that lead to joint development projects across Brose's global production network.",Brose Group,Germany,,Brose Fahrzeugteile SE & Co. KG,Brose Fahrzeugteile SE & Co. KG,Mobility & Logistics
BSH Startup Kitchen,https://www.bshstartupkitchen.com/,"BSH Startup Kitchen is the venture client unit of BSH Hausgeräte GmbH, part of the Bosch Group, created to source startup technologies that can be rapidly integrated into the parent’s home appliance products, services, and operations through revenue-driven partnerships focused on the future home.

The unit prioritizes product innovations such as sensors and analytics, novel interfaces, and advanced materials, production technologies spanning robotics, logistics, and additive manufacturing, and business enablers covering generative AI, data and cybersecurity, and digital commerce capabilities.

Startups engage via a paid proof-of-concept with a fast-track purchase process, KPI-driven validation, and support to scale across BSH’s global manufacturing network, with examples including collaborations with Passio and Mavenoid.",BSH Home Appliances,Germany,,,BSH Home Appliances,Mobility & Logistics
Cargill Ventures,https://www.agtechnavigator.com/Article/2024/03/20/cargill-ventures-from-plant-based-foods-to-soil-health-which-solutions-are-best-placed-to-solve-ag-s-urgent-challenges,"Cargill Ventures, Cargill's venture capital team, backs innovative food and agriculture startups that advance the future needs of the company's global customer base, with Erin VanLanduit steering the effort to scale strategic innovation.

The unit targets technologies that sharpen operational safety and efficiency across agrifood supply chains, exemplified by its equity-backed partnership with drone specialist Flyability to modernize confined-space inspections and proactive asset management in processing facilities.

Beyond funding, Cargill Ventures couples its equity stakes with commercial agreements, advisory board participation, and deployment through Cargill sites, giving portfolio companies such as Flyability credibility, industry expertise, and pathways to expand from North America toward global markets.",Cargill,United States,,,Cargill,"Food, Ag & Bioeconomy, Digital Climate Infrastructure"
Carnrite Ventures,http://carnritegroup.com/ventures/,"Carnrite Ventures is the venture investment arm of The Carnrite Group, extending the parent’s energy and industrial heritage into strategic venture partnerships that back technology companies across the United States and stay focused on helping founders scale.

It concentrates on energy and climate technology and healthcare technology startups from pre-seed to Series B, pairing capital with Carnrite’s experience and network to help founders accelerate growth. Its portfolio reflects these themes through investments such as Data Gumbo, Persefoni, and Colossal Biosciences.",Carnrite Group,United States,,The Carnrite Group LLC,The Carnrite Group LLC,Industrial Decarbonization
Caterpillar Ventures,http://www.caterpillar.com/en/company/innovation/caterpillar-ventures.html,"Caterpillar Venture Capital, the venture arm of Caterpillar Inc., backs startups that address energy decarbonization, infrastructure, and mining challenges while seeking to build today for a better tomorrow through strategic collaborations and industry partnerships.

The unit invests across energy, digital technologies, robotics, and advanced materials alongside targeted themes such as distributed power, analytics, additive manufacturing, and other customer-enabling business models.

Founders gain access to Caterpillar’s industry expertise, supply base, and independent dealer network for pilots and partnerships, and the portfolio features companies such as Guardhat, MineSense, FlexGen Power Systems, and Powerhive.",Caterpillar Inc.,United States,1.0,Caterpillar Inc.,Caterpillar Inc.,"Industrial Decarbonization, Mobility & Logistics, Building Efficiency & Electrification"
Cathexis Ventures,https://cathexis.ventures,"Cathexis Ventures is the venture capital arm of Cathexis Holdings, formalized in 2018 to back teams building great products quickly and efficiently at the early stages.

Investment themes include B2B software and services, hardware and deeptech, and consumer software and goods, reflecting its generalist mix spanning SaaS, hardware, and consumer innovations. Illustrative holdings include Macrofab for electronics manufacturing marketplaces, Rain AI for analog AI hardware, and Honeylove for consumer shapewear.",Cathexis Holdings,United States,1.0,Cathexis Holdings LP,Cathexis Holdings LP,Building Efficiency & Electrification
Cemex Ventures,http://www.cemexventures.com/,"Cemex Ventures is the corporate venture capital and open innovation unit of Cemex, operating globally to invest, accelerate, and partner with innovators so the parent can access emerging construction technologies and business models that advance its strategy.

It concentrates on four market-driven opportunity areas: Green Construction for low-carbon and circular solutions, Enhanced Productivity to improve collaboration and decision-making, Construction Supply Chain to optimize resource flows, and Future of Construction covering robotics, advanced materials, and industrialized methods.

The CVC supports startups with laboratory testing, pilot projects, commercialization pathways, investor connections, and access to Cemex’s global network, R&D, and expert advisors, pairing capital with strategic collaboration, while investments have included HiiROC in clean hydrogen, KC8 Capture Technologies for carbon capture, and OPTIMITIVE for AI-driven industrial optimization.",Cemex,Mexico,,,Cemex,"Mobility & Logistics, Building Efficiency & Electrification, Digital Climate Infrastructure"
Cencosud Ventures,https://www.cencosud.com,"Cencosud Ventures is the corporate venturing arm of Cencosud S.A., created to partner with innovative technology startups that accelerate the retailer’s digital evolution and strengthen its value proposition across the region.

The unit targets growth-stage companies from seed through Series A+ that deliver solutions in services to retail, future of commerce, fintech, and logistics and supply chain to modernize core retail operations.

Cencosud Ventures embeds portfolio companies by forging direct links with banner and country leaders, positioning startups inside operating units, co-developing KPIs, and investing directly from the corporate balance sheet to ensure joint execution. Investments such as Mimo Live Sales integrate live shopping into Cencosud digital channels to elevate omnichannel retail experiences.",Cencosud,Chile,,,Cencosud,Mobility & Logistics
Chevron Technology Ventures,https://www.chevron.com/what-we-do/technology-and-innovation/technology-ventures,"Chevron Technology Ventures is Chevron Corporation's venture capital arm, launched in 1999 to integrate external innovation that strengthens how the company delivers affordable, reliable, ever-cleaner energy solutions.

Its Core Venture Fund targets operational enhancements, digitalization, and lower-carbon advances for Chevron's core businesses, while successive Future Energy Funds focus on carbon capture, emerging mobility, energy storage, industrial decarbonization, energy decentralization, the circular economy, and newer priorities such as novel low-carbon fuels, advanced materials, and converting carbon into higher-value products; representative investments include Blue Planet, Infinitum Electric, Zap Energy, and Orbital Insight.

CTV partners with startups, piloting their technologies and incorporating them into Chevron's supply chain, and augments capital with programs like the Catalyst Program, which accelerates early-stage companies developing smart oilfield, advanced material, water, and digital solutions, and Chevron Studio, which pairs entrepreneurs with national lab and university IP, providing seed funding, technical assistance, and a pathway from discovery through field trials to commercial deployment of lower-carbon technologies.",Chevron,United States,,,Chevron,"Industrial Decarbonization, Circular Economy, Mobility & Logistics"
Cultivate Next,"https://newsroom.chipotle.com/2024-02-28-CHIPOTLE-DOUBLES-ITS-COMMITMENT-TO-THE-CULTIVATE-NEXT-VENTURE-FUND-TO-100-MILLION,-MARKING-ITS-TWO-YEAR-ANNIVERSARY","Cultivate Next is the corporate venture fund of Chipotle Mexican Grill, created to back early-stage companies that advance the parent’s mission to Cultivate a Better World and support plans to scale to 7,000 North American restaurants. The fund pursues innovations across supply chain, agriculture, restaurant operations, automation, and plant-based food solutions that align with Chipotle’s strategic priorities. Recent investments highlight interest in sustainable protein and emissions reduction technologies, including Plantible’s duckweed-derived protein platform and CH4 Global’s seaweed-based methane mitigation feed additive.

Cultivate Next partners closely with founders by piloting their tools inside Chipotle’s system, such as deploying Local Line to digitize sourcing while funding grants for nearby farms, collaborating with Vebu on the Autocado cobotic, stage-gating Hyphen’s automated digital makeline in restaurants, and testing Zero Acre Farms oils in the Cultivate Center kitchen. The portfolio also includes GreenField Robotics, Nitricity, Lumachain, Brassica, and other companies advancing regenerative farming, climate-smart inputs, and AI-enabled supply chain visibility for restaurant growth.",Chipotle,United States,,,Chipotle,
Qemetica Ventures,https://ciech.ventures/en/home/,"Qemetica Ventures is the corporate venture capital unit of the chemical holding Qemetica, created to back young innovative companies with capital and development pathways that align with the group’s industrial transformation. Qemetica Ventures targets startups in chemical technologies, cleantech and circular industry, agriculture, advanced materials, energy sources and storage, bioproducts for farmers, and carbon and waste management, aligning investments with strategic sustainability themes across the parent’s businesses.

The team engages through flexible direct investments, business partnerships, and pilots, complementing funding with access to Qemetica’s industrial-scale implementation and commercialization capabilities so startups can test and scale within the group’s operations. Recent portfolio examples include Maxterial’s metal coatings, Xampla’s plant-based materials, DePoly’s PET recycling platform, and UniSieve’s MOF membranes, illustrating the CVC’s focus on enabling cleaner chemistry and circular processes.",CIECH Group,Poland,,,CIECH Group,
Cisco Investments,http://www.ciscoinvestments.com,"Cisco Investments is the corporate venture capital arm of Cisco Systems, Inc., using strategic investments to deepen and broaden the company's core capabilities while partnering with startups to build an inclusive future through innovation.

The unit concentrates on enterprise technology themes spanning mass-scale infrastructure, cloud, collaboration, data center networking, emerging technologies, enterprise networking, IoT, IT operations, security, services and customer experience, and silicon and optics, reflecting Cisco's strategic priorities in AI-era infrastructure. Cisco Investments accelerates these companies by opening access to Cisco's domain experts, global salesforce, and channel partners, helping them co-sell with, sell to, and sell through Cisco across the customer base.

Representative portfolio companies include Cohere in enterprise AI language models, CoreWeave in GPU cloud infrastructure, and Aliro in quantum networking, illustrating Cisco Investments' focus on next-generation compute, security, and networking capabilities.",Cisco,United States,,,Cisco,"Mobility & Logistics, Building Efficiency & Electrification"
Citi Ventures,https://www.citi.com/ventures/,"Citi Ventures is the corporate venture arm of Citigroup, mandated to catalyze innovation at Citi by investing in and partnering with startups that can help the bank drive growth and economic progress globally.

The unit invests across seven focus areas—FinTech, AI & Data, Future of Commerce, Security & Enterprise IT, Customer Experience & Marketing, DLT & Digital Assets, and PropTech—pursuing technologies that transform financial services and related customer journeys.

Citi Ventures extends value beyond capital by introducing founders to senior leaders across Citi and its client base, sharing domain expertise on strategy and product development, convening a community of innovators, and helping pilot or scale solutions inside the bank, yielding roughly 60% portfolio commercialization with Citi and more than 100 business introductions each year.",Citi,United States,,Citigroup Inc.,Citigroup Inc.,Mobility & Logistics
ZEBOX Ventures,https://www.ze-box.io/ventures,"ZEBOX Ventures extends CMA CGM Group’s innovation hub ZEBOX, which the shipping conglomerate founded to connect startups and large companies, by launching a Seed and Series A vehicle in 2023 that aims to finance more than 50 high-potential companies each year to accelerate co-innovation across transport, logistics, mobility, media and adjacent sectors.

Investment priorities center on transport, logistics and mobility, decarbonization and the energy transition, digital and AI-enabled process optimization, and media and consumer solutions that reinforce the parent’s push toward optimized shipping, the future of work and sustainable industry transformation. Founders tap ZEBOX’s platform for tailored commercial opportunities, fundraising expertise, international expansion support and direct access to CMA CGM Group’s global assets and corporate partners.

Illustrative investments include Searoutes, providing carbon-conscious routing tools for shippers, and XXII, applying computer vision to logistics and retail operations with ZEBOX Ventures backing.",CMA CGM,France,,,CMA CGM,Carbon Management & Markets
CMA CGM Ventures,https://www.cmacgm-group.com/en/innovation/digital-startup%20support,"CMA CGM Ventures is the corporate venture arm of CMA CGM Group, created to invest in innovative technologies that extend the Group's digital transformation and deliver better digital tools for global shippers.

It prioritizes logistics solutions such as digital freight contracting platforms, AI-enabled supply chain automation, and energy-transition solutions, ranging from backing marketplaces such as NYSHEX to co-developing generative AI applications across shipping, logistics, and media operations, alongside the PULSE energy fund's pursuit of startups and industrial projects that decarbonize transport assets.

Startups gain structured support through ZEBOX, the CMA CGM-founded global accelerator that pairs founders with Group experts and assets, while anchor collaborations embed startup teams with CMA CGM specialists to pilot and scale new solutions; illustrative investments include NYSHEX and port-congestion platform e-dray.",CMA CGM Group,France,,,CMA CGM Group,Mobility & Logistics
CMPC Ventures,https://www.cmpcventures.com/es-es,"CMPC Ventures is the innovation fund of CMPC, created to accelerate the incorporation of new technologies, products, and business lines that build on the company’s fiber and forest platforms for a more circular and sustainable future. The unit invests its own capital to catalyze globally scalable startups, alliances, and R&D collaborations that complement CMPC’s long-term growth strategy.

Its priority themes span textile fibers from cellulose and fiber recycling, wood and novel construction materials, biorefinery outputs such as lignin, nanocellulose and biofuels, sustainable biobased packaging, and the digitalization and circularity of industrial processes. Portfolio companies gain structured support including access to CMPC’s research and development experts, global network of suppliers and customers, facilitated pilots with CMPC as a first customer, coordination across the corporation’s internal ecosystem, and scaling assistance that opens markets.

Illustrative investments highlighted by CMPC Ventures include Rubi, Modvion, Strong by Form, Pulpex, Nordic Bioproducts Group, Boxia, and Woamy.",CMPC,Chile,,,CMPC,"Circular Economy, Mobility & Logistics, Food, Ag & Bioeconomy"
Open CNP,https://open.cnp.fr/en,"Open CNP is the corporate venture arm of CNP Assurances, created to back European startups that advance the group’s insurance and financial services strategy across fintech, insurtech, e-health, B2B services, and impact-driven solutions from seed through Series B. Established in 2016, the program supports innovative companies that help CNP Assurances develop new customer-facing solutions in these priority fields.

The fund connects portfolio companies with CNP Assurances business lines for co-creation, mobilizes internal experts, and opens internal and external networks to help refine business models and scale partnerships. Representative investments include MiTrust, which streamlines GDPR-compliant data sharing, and Paylead, which builds banking-data loyalty programs.",CNP Assurances,France,,,CNP Assurances,
Greycroft Coca‑Cola System Sustainability Fund,https://www.coca-colacompany.com/media-center/company-and-bottling-partners-announce-creation-sustainability-focused-venture-capital-fund-partnership-with-greycroft,"The Greycroft Coca-Cola System Sustainability Fund is the venture arm of The Coca-Cola Company and eight bottling partners, managed by Greycroft to back sustainability innovations that cut the Coca-Cola system’s carbon footprint.

It targets startups ready to scale solutions in packaging, heating and cooling, facility decarbonization, distribution, and supply chain, concentrating on entrepreneurs whose technologies are already at the cusp of commercialization.

Portfolio teams gain channels to pilot and expand their technologies across Coca-Cola’s global bottling network, leveraging the system’s scale, subject expertise, and Greycroft’s venture support to accelerate climate-positive deployment.",Coca-Cola,United States,,,Coca-Cola,
Comcast Ventures,http://www.comcastventures.com,"Comcast Ventures is Comcast Corporation’s venture arm, backing early to growth-stage startups poised to shape the company’s next six decades, with priority themes across Data & AI, Enabling Tech, Energy & Sustainability, Future of Work, Health Tech, and Proptech.

The fund complements capital with Comcast NBCUniversal’s expertise, scale, network, and resources, and through LIFT Labs accelerators it links founders with the right business units to pilot solutions, streamline enterprise deals, and convert proofs-of-concept into long-term partnerships.

Recent deployments include investments in AI-driven creative platform Creatify and health adherence platform Wellth, underscoring the thesis around applied AI and connected health.",Comcast Corporation,United States,,,Comcast Corporation,"Mobility & Logistics, Digital Climate Infrastructure"
CommerzVentures,https://commerzventures.com/,"CommerzVentures operates as Commerzbank’s dedicated venture arm, established to expand the bank’s access to financial innovation and still capitalized solely by the parent while backing founders reimagining financial services at Series A and beyond across Europe, Israel, the USA, and Africa.

Its mandate concentrates on fintech infrastructure, insurtech modernization, and the emerging climate fintech category that fuses finance with sustainability in line with the firm’s ESG commitments.

CommerzVentures supports companies with follow-on capital into later growth and takes board observer roles to help steer strategy, with recent investments spanning Doconomy, ClimateView, lemon.markets, and Unique as illustrations of its climate fintech and financial infrastructure focus.",Commerzbank,Germany,,,Commerzbank,Digital Climate Infrastructure
neosfer,https://www.neosfer.com,"Neosfer is the early-stage investor and innovation unit of Commerzbank Group, mandated to shape the digital and sustainable transformation of financial services by scaling solutions that deliver added value for the bank and its customers

The unit targets early-stage European startups whose digital and sustainable business models advance fintech, B2B SaaS, and sustainability themes that are strategically relevant to Commerzbank's businesses

Beyond capital, Neosfer opens access to Commerzbank resources, its investor network, and banking expertise, and its portfolio illustrates this approach with companies such as Pliant, Squake, and Userlane",Commerzbank Group,Germany,,,Commerzbank Group,
Constellation Technology Ventures,http://technologyventures.constellation.com/,"Constellation Technology Ventures (CTV) is the venture investing arm of Constellation Energy, with a mission to champion innovation that accelerates cleaner, sustainable energy solutions for the company and its customers.

CTV targets startups in power and renewables, electrification pathways, emissions management, and digital strategies across interconnected energy markets.

CTV pairs equity capital, management expertise, and access to Constellation’s commercial platform with portfolio collaboration to deploy offerings at scale; representative investments include Bidgely, Sparkfund, and AtmosZero.",Constellation,United States,,,Constellation,
WIND Ventures,https://www.windventures.vc/,"WIND Ventures is the corporate venture capital arm of Empresas Copec, leveraging the conglomerate’s energy, mobility, and retail platform from its San Francisco base to accelerate startups with access to Latin American and U.S. markets.

It backs entrepreneurs redefining mobility, decarbonized and decentralized energy systems, and convenience-driven retail experiences, reflecting Copec’s mandate to lead transformation across those sectors.

The WIND growth platform opens Copec’s assets, customer base, and market relationships to portfolio companies for pilots, distribution channels, and scale-up support in the Americas; representative holdings such as Optibus, H2Pro, Grabango, and Yotta Energy illustrate how it partners across transport optimization, green hydrogen, frictionless retail, and distributed solar-plus-storage solutions.",COPEC,Chile,1.0,Compania de Petroleos de Chile Copec S.A.,Compania de Petroleos de Chile Copec S.A.,Digital Climate Infrastructure
Covestro Venture Capital,https://www.covestro.com/en/innovation/covestro-venture-capital,"Covestro Venture Capital (COVeC) is the corporate venturing arm of Covestro AG, with a mission to push entrepreneurial activity in and adjacent to the company’s core materials businesses by investing in innovative startups and scale-ups.

COVeC prioritizes young companies developing bio-based raw materials and biotechnology, additive manufacturing, circular economy solutions, digital technologies, and new markets or technologies linked to Covestro’s core business.

The unit engages through strategic equity investments, exchanges of ideas, joint development agreements, and commercial collaborations while offering portfolio companies Covestro’s business expertise, market access, network, commercial opportunities, and access to technical know-how, assets, data, and IP; recent investments include Crime Science Technology and Hydrogenious LOHC Technologies.",Covestro,Germany,,,Covestro,
Socium Ventures,https://www.coxenterprises.com/businesses/socium-ventures,"Socium Ventures is the corporate venture and growth arm of Cox Enterprises, created to partner with founders and scale durable, compounding businesses through the parent’s long-term innovation platform.

It concentrates on technology-led growth themes spanning enterprise and vertical software, advanced computing tools, public sector software, healthcare, fintech, B2B marketplaces, sustainability, and other tech-enabled services that align with Cox’s strategic priorities.

Socium Ventures supports companies with permanent single-LP capital, direct access to strategic, operational, and technical leaders, and long-term partnership across stages, and its portfolio already includes startups such as TruckSmarter, Scale AI, and Gecko Robotics that demonstrate this collaborative model.",Cox Enterprises,United States,1.0,"Cox Enterprises, Inc.","Cox Enterprises, Inc.","Building Efficiency & Electrification, Digital Climate Infrastructure"
Credit Suisse NEXT Investors,https://am.credit-suisse.com/us/en/asset-management/investment-solutions/private-equity/next-investors.html,"Credit Suisse NEXT Investors is the growth equity platform of Credit Suisse Asset Management, which has operated under UBS Group AG since the March 19, 2023 merger agreement, and pursues minority stakes in technology and services businesses where its domain expertise can advance financial services innovation.

It targets high-growth companies that interact with the financial sector across market structure, financial technology, enterprise software, data analytics, specialty finance, and broader tech-enabled finance, aligning the portfolio with infrastructure and software that modernize capital markets workflows.

The team leverages the parent bank’s global banking and technology platform to source opportunities and help portfolio companies commercialize at scale, exemplified by its role in building FastMatch into a leading FX electronic communication network and facilitating the combination of LUX Fund Technology & Solutions with NorthPoint to create Portfolio BI.",Credit Suisse,Switzerland,,,Credit Suisse,
CRH Ventures,https://www.crhventures.com/,"CRH Ventures is the corporate venture capital unit of CRH, created to back technologies that help the building materials group meet evolving construction needs across its global value chain. It targets startups advancing circularity, decarbonisation, productivity, and water solutions to keep the industry safer, smarter, more efficient, and sustainable.

Through accelerators such as Sustainable Building Materials and Roads of the Future, the unit runs pilots inside CRH operations and connects founders with operating companies to scale market-ready innovations in core infrastructure segments. Recent backed companies include FIDO AI, Carbon Upcycling Technologies, and VODA.ai, reflecting an emphasis on leak detection, low-carbon cementitious materials, and digital water infrastructure.",CRH,Ireland,,,CRH,"Mobility & Logistics, Building Efficiency & Electrification, Digital Climate Infrastructure"
Crowley Ventures,https://www.crowley.com,"Crowley Ventures is the dedicated investment arm of Crowley, the U.S.-based logistics, marine, wind and energy company, created to extend the parent's century-long focus on partnership and sustainability by pursuing acquisitions, divestitures and minority growth investments that accelerate its core business units.

The team concentrates on opportunities in digitally enabled logistics, fleet decarbonization, green supply chain solutions and government services that enhance transparency, operational efficiency and low-carbon performance across land and sea operations.

Crowley Ventures pilots technologies with portfolio companies, such as using REPOWR's asset-sharing network to rebalance chassis pools and open new collaborative logistics channels. It also hosts innovation programming for partners, exemplified by Tugdock's participation in the Crowley Innovation Expo following the company's investment to expand floating offshore wind solutions, and it has invested in Carbon Ridge to advance onboard carbon capture for shipping.",Crowley,United States,,,Crowley,Circular Economy
Avanta Ventures,https://www.avantaventures.com/,"Avanta Ventures, the corporate venture arm of CSAA Insurance Group, invests to reimagine the future of insurance and scale growth by engaging with groundbreaking U.S. startups. The team concentrates on insurtech, mobility, and risk-adjacent domains such as fintech, applied AI, cybersecurity, connected home, and property technology, targeting innovations that reshape risk and mobility experiences.

The unit supports early-stage companies with capital plus deep insurance expertise, specialized resources, and opportunities for commercial engagement alongside AAA-aligned business units. Through its Avanta Studios accelerator, it helps pre-seed founders achieve milestones like product-market fit, customer traction, and institutional fundraising readiness. Portfolio highlights include investments in Cowbell, Kin, and RapidSOS that exemplify its emphasis on modern risk intelligence and customer-centric protection.",CSAA,United States,1.0,CSAA Insurance Group,CSAA Insurance Group,"Energy & Grid, Mobility & Logistics"
CSN Inova Ventures,https://www.csninova.com.br/inova-ventures,"CSN Inova Ventures is the corporate venture capital arm of Companhia Siderúrgica Nacional, backing disruptive technologies with high growth potential that help transition traditional industries toward smarter, connected and sustainable operations, with a focus on Seed to Series B companies aligned to CSN’s strategic priorities. Beyond capital, the team partners with investees to scale technology and commercial adoption, co-develop new applications, connect founders to the CSN ecosystem, and run pilot projects across CSN businesses to validate solutions before wider deployment.

Its investment verticals cover the ESG Transition, Industry of the Future, and Corporate and New Businesses, targeting sustainability solutions, industrial efficiency, digitalization, new materials, and adjacent revenue opportunities for the group. Illustrative portfolio companies such as Traive, EnviCore, and GaussFleet highlight theses spanning agrifinance data intelligence, circular materials for cement, and industrial fleet monitoring.",CSN Group,Brazil,,,CSN Group,
Danone Manifesto Ventures,https://www.danoneventures.com/,"Danone Manifesto Ventures is the corporate venture arm of Danone, created to bring the Danone Manifesto to life by partnering with disruptive food and foodtech entrepreneurs who advance a healthy, sustainable future of food.

The fund prioritizes innovations that expand plant-based choices, make nutritious options more convenient, and deliver climate-smart, science-based solutions for the food system.

DMV couples capital with access to Danone’s global expertise, mentorship, and operational support, acting as a strategic sounding board for portfolio teams; representative investments include Harmless Harvest, Minor Figures, Symbrosia, and Farmer’s Fridge.",Danone,France,,,Danone,Digital Climate Infrastructure
Schenker Ventures,https://www.schenker-ventures.com/,"Schenker Ventures is the corporate venture platform backed by DB Schenker, acting as the logistics group’s eyes and ears in the global venture ecosystem to forge partnerships that deliver both attractive returns and strategic value for the parent’s supply chain operations.

It concentrates on solutions that make logistics and supply chains greener, safer, and more efficient, spanning areas such as synthetic fuels for future fleets, cybersecurity for global trade flows, warehouse robotics, and broader themes including e-commerce logistics, warehouse automation, last-mile delivery, and supply-chain visibility.

Portfolio companies gain access to DB Schenker’s worldwide network, deep freight expertise, and operational resources to accelerate their scale-up, with illustrative holdings such as Fernride’s autonomous yard logistics and Warehousing1’s flexible fulfillment platform.",DB Schenker,Germany,1.0,DB Schenker,DB Schenker,
DK Innovation,https://www.linkedin.com/company/dkinnovation/about/,"Delek US Holdings’ corporate venture arm, DK Innovation, invests in technology startups that can strengthen the parent’s midstream and downstream businesses while opening new energy transition opportunities that cut greenhouse-gas emissions.

Its mandate spans core reliability and Industry 4.0 solutions as well as new energy areas such as carbon capture, low-carbon fuels, hydrogen, lithium, and fusion, with portfolio support delivered through collaborations with startups, incubators, universities, national labs, and innovation events that connect entrepreneurs to Delek’s strategic assets.",Delek US,United States,1.0,"Delek US Holdings, Inc.","Delek US Holdings, Inc.",
Dell Technologies Capital,https://www.delltechnologiescapital.com,"Dell Technologies Capital is the venture investment arm of Dell Technologies, backing early-stage founders building enterprise technologies that complement the parent company's strategic priorities and deliver new solutions for customers.

It prioritizes startups across artificial intelligence, cybersecurity, data platforms, developer-first tools, enterprise software, logistics innovation, infrastructure systems, and silicon technologies that modernize how global enterprises operate.

Portfolio teams gain access to DTC's shared expertise, Dell's customer and partner network, curated market briefings, and go-to-market support, with the value of this model reflected in relationships with companies such as Zscaler, Immuta, Redis, Packet, Humio, and MinIO.",Dell Technologies,United States,,,Dell Technologies,
Denso Corporate Ventures,https://densocvc.com/,"DENSO Corporate Ventures is the corporate venture capital arm of DENSO Corporation, mobilizing the parent’s resources to co-develop safer, cleaner and more seamless mobility, and has invested over $100 million in recent years while inviting startups in mobility, autonomous driving, connectivity and electrification to partner through its venture portal.

The unit concentrates on connectivity, autonomous driving, shared mobility and electrification innovations, supports entrepreneurs from its Silicon Valley base through early-stage capital, access to DENSO expertise and collaborations with incubators such as Prospect Silicon Valley and NextEnergy, and counts Dellfer, Seurat Technologies, Lambda:4 and Blaize among its current collaborators.",Denso,Japan,,,Denso,
Deutsche Bahn Digital Ventures,https://www.deutschebahn.com,"Deutsche Bahn AG backs Beyond1435 GmbH, the corporate venture platform that arose from Deutsche Bahn Digital Ventures in 2016 to invest in young companies that strengthen rail transport in Germany, focusing on sustainability and production while structuring partnerships from development collaborations to joint ventures and giving portfolio startups access to DB’s wider network.

The unit directs capital toward innovative business models aligned with DB’s Strong Rail and digital technology strategies, emphasizing start-ups and technology partnerships capable of delivering trendsetting customer and industrial solutions for rail and mobility, and it deepens value creation by piloting applications—such as testing drone-enabled logistics with Skyports—to explore new digital services. Illustrative investments include AI specialist InstaDeep, satellite connectivity provider Kepler Communications, and drone infrastructure operator Skyports.",Deutsche Bahn,Germany,,,Deutsche Bahn,
Deutsche Bank Corporate Venture Capital,https://www.db.com/what-we-do/focus-topics/corporate-venture-capital,"Deutsche Bank operates a corporate venture capital programme to shape the future of financial services by backing fintech and enterprise technology ventures that strengthen or extend the bank’s offerings, digitalise front-to-back processes, and align with its long-term strategic objectives.

The team targets startups working on AI/ML and data, cloud infrastructure, cybersecurity, digitalisation, digital assets, emerging technologies, ESG solutions, the future of work, and regulatory technology, reflecting the bank’s priority innovation themes.

Deutsche Bank supports portfolio companies with a dedicated manager, access to subject-matter experts, business development to scale solutions within the bank or with clients, and curated ecosystem networking, and its investments include firms such as Proxymity, AccessFintech, Synthesized, and Binalyze.",Deutsche Bank,Germany,,,Deutsche Bank,
DTCP,https://www.dtcp.capital,"Deutsche Telekom serves as anchor investor in DTCP, an independent multi-LP platform that deploys corporate capital to accelerate digital transformation through dedicated growth equity and infrastructure vehicles spanning software scale-ups and European connectivity assets.

DTCP Growth targets enterprise SaaS scale-ups in cybersecurity, vertical SaaS, DevOps, cloud, AI, and robotics across Europe, the US, and Israel, while DTCP Infra backs mid-market data centers, mobile towers, and fiber networks that support the modern digital economy.

DTCP helps founders with tailored go-to-market plans, ecosystem relationships, and its data-driven Flightpath benchmarking platform to guide global scaling, and its portfolio reflects the thesis with companies such as Aircall, Arctic Wolf, Community Fibre, and maincubes.",Deutsche Telekom,Germany,,,Deutsche Telekom,
T Capital,https://www.t.capital/,"T.Capital is Deutsche Telekom’s corporate venture arm, deploying strategic capital into early- and late-stage companies that reinforce the group’s connectivity and digital services priorities while managing investments end to end for its parent. The fund targets innovations in wireless infrastructure, decentralized services, Internet of Things, digital transformation, artificial intelligence, and ESG to advance Deutsche Telekom’s long-term roadmap.

It supports portfolio companies by brokering commercial engagements across Telekom’s businesses, opening customer and partner access, and assisting on strategic minority or majority technology acquisitions that deepen joint go-to-market execution. Recent examples include investments in Airalo’s global eSIM marketplace, Pachama’s nature-based carbon platform, Mento’s Web3 loyalty infrastructure, and Desquared’s Magenta app development services, showcasing how the fund aligns external innovation with core business needs.",Deutsche Telekom,Germany,,,Deutsche Telekom,"Energy & Grid, Digital Climate Infrastructure"
